Páginas;Formato;Cor;Papel Miolo;Papel Capa;50;100;150
8 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Reciclato 90g;Couché Fosco 115g;568,39;851,02;1.040,90
8 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Reciclato 90g;Couché Fosco 150g;574,00;865,58;1.056,46
8 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;501,01;758,27;905,89
8 Páginas;A5 (14,8 x 21,0 cm);4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;506,62;772,82;921,46
16 Páginas;20 x 20 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;696,54;1.088,05;1.440,54
16 Páginas;20 x 20 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;702,44;1.102,11;1.455,80
16 Páginas;20 x 20 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;849,54;1.272,84;1.690,35
16 Páginas;20 x 20 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;855,44;1.286,91;1.705,61
16 Páginas;20 x 20 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;698,85;1.063,10;1.379,58
16 Páginas;20 x 20 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;704,74;1.077,17;1.394,84
16 Páginas;20 x 20 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;696,54;1.088,05;1.440,54
16 Páginas;20 x 20 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;702,44;1.102,11;1.455,80
16 Páginas;20 x 20 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;849,54;1.272,84;1.690,35
16 Páginas;20 x 20 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;855,44;1.286,91;1.705,61
16 Páginas;20 x 20 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;698,85;1.063,10;1.379,58
16 Páginas;20 x 20 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;704,74;1.077,17;1.394,84
16 Páginas;21 x 15 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;615,77;1.009,86;1.215,84
16 Páginas;21 x 15 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;621,40;1.024,45;1.230,33
16 Páginas;21 x 15 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;746,51;1.095,40;1.424,19
16 Páginas;21 x 15 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;752,14;1.108,95;1.438,68
16 Páginas;21 x 15 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;624,78;999,48;1.177,83
